"%s was added to your shopping cart.","%s a fost adaugat in cosul de cumparaturi."
"You have no items in your shopping cart.","Nu ai nimic in cosul de cumparaturi."
"There are no questions for this product.","Nu sunt intrebari pentru acest produs."
"Customer Q&A:", "Intrebarile utilizatorilor"
"Have a question? Ask away:","Ai o intrebare? Pune-o aici:"
"Username","Nume de utilizator"
"Type your username here...", "Introduceti username-ul dumneavoastra..."
"Question", "Intrebarea"
"Type your question here...", "Introduceti intrebarea dumneavoastra..."
"Submit", "Adauga"
" asked on ", " a intrebat in "
